id,title,category,tags,description,rating,state,cost,location
1,Applications of Machine Learning in Medicine - Stanford University,Courses,ml;medicine;stanford,Enter an online course offered by Stanford University on the interplay of ML and Medicine!,4.9,California,Free,National
2,Study with The Open University,Courses,online;university;education,A free online for students to get hands-on learning experience in a variety of academic subjects!,4.7,National,Free,National
3,Pennsylvania's Environ Deleware County Grant,Grants,environment;pennsylvania;local,Funds for environmentally-active student based organizations to continue to grow and help our society.,4.8,Pennsylvania,$500,Pennsylvania
4,Annenberg Youth Academy (AYA) for Media and Civic Engagement,Training Programs,media;civic;youth,An interactive 3-week academy giving students an opportunity to hone skills in public speech journalism and critical thinking.,4.6,Pennsylvania,Free,Pennsylvania
5,Summer Academy for Math and Science (SAMS),Training Programs,stem;math;science,An opportunity for students to take courses in a variety of STEM fields (math biology physics) & mentorship from CMU faculty.,4.9,Pennsylvania,Free,Pennsylvania
6,Sadie Nash Leadership Project,Training Programs,leadership;women;youth,A 6-week program for young women and gender-expansive youth to explore their leadership potential.,4.8,New Jersey,Free,New York or Newark New Jersey
7,Google Software Engineering Apprenticeship,Apprenticeship,software;engineering;tech,A 12-month paid apprenticeship for aspiring software engineers.,4.8,California,Free,California
8,Amazon Future Engineer Scholarship,Scholarship,scholarship;cs;diversity,$40000 scholarship for students pursuing computer science degrees.,4.7,Washington,Free,Washington
9,Meta Frontend Nanodegree Grant,Courses,frontend;web;react,A fully funded React and frontend development nanodegree.,4.6,New York,Free,New York
10,Carnegie Mellon AI Bootcamp,Bootcamp,ai;ml;python,An intensive 10-week AI bootcamp focused on ML fundamentals.,4.9,Pennsylvania,Free,Pennsylvania
11,Women in Cybersecurity Fellowship,Fellowship,cybersecurity;women;security,A 6-month fellowship supporting women entering cybersecurity.,4.8,Texas,Free,Texas
12,MIT Launch Entrepreneurship Program,Training Programs,entrepreneurship;business;startup,A 4-week program teaching high school students how to start and run a business.,4.9,Massachusetts,Free,Massachusetts
13,NASA STEM Engagement Internship,Internship,stem;space;nasa,Paid internship working on real NASA projects in STEM fields.,4.9,National,Free,National
14,Code2040 Fellows Program,Fellowship,tech;diversity;coding,Fellowship connecting Black and Latinx students with top tech companies.,4.8,California,Free,California
15,Girls Who Code Summer Immersion Program,Training Programs,coding;women;technology,Free 7-week program teaching coding and computer science to young women.,4.7,National,Free,National
16,Princeton Summer Journalism Program,Training Programs,journalism;writing;media,Intensive program for students interested in journalism and media careers.,4.6,New Jersey,Free,New Jersey
17,Yale Young Global Scholars Program,Training Programs,leadership;global;academics,Academic enrichment program for outstanding high school students.,4.9,Connecticut,Free,Connecticut
18,Microsoft High School Internship Program,Internship,tech;software;microsoft,Paid summer internship for high school students interested in technology.,4.8,Washington,Free,Washington
19,National Merit Scholarship,Scholarship,academic;merit;scholarship,Academic scholarship recognizing outstanding high school students.,4.9,National,Free,National
20,Questbridge College Prep Scholarship,Scholarship,college;prep;scholarship,Scholarship and college admission support for high-achieving low-income students.,4.9,National,Free,National
21,Johns Hopkins Summer Neuroscience Program,Training Programs,neuroscience;biology;medicine,A 2-week intensive program introducing high school students to neuroscience research and lab techniques.,4.8,Maryland,Free,Maryland
22,Arizona State University EPICS High Program,Courses,engineering;community;design,Students apply engineering and technology skills to solve real-world community challenges.,4.6,Arizona,Free,Arizona
23,Michigan Ross Business Scholars Program,Training Programs,business;finance;leadership,A summer program at University of Michigan teaching students core business and entrepreneurship skills.,4.7,Michigan,Free,Michigan
24,NAACP Afrilachian Scholars Initiative,Scholarship,diversity;scholarship;appalachia,Scholarship supporting Black students from Appalachian communities pursuing higher education.,4.8,National,Free,National
25,Pacific Northwest National Laboratory STEM Internship,Internship,stem;research;lab,Paid summer research internship at a U.S. Department of Energy national laboratory.,4.9,Washington,Free,Washington
26,Chicago Urban League Youth Entrepreneurship Academy,Training Programs,entrepreneurship;urban;chicago,A program helping Chicago youth develop business plans and financial literacy skills.,4.7,Illinois,Free,Illinois
27,TexasA&M Young Scientists Research Program,Internship,research;biology;chemistry,Hands-on mentored research internship for Texas high school students in STEM disciplines.,4.6,Texas,Free,Texas
28,Bank of America Student Leaders Program,Internship,leadership;finance;community,Paid summer internship connecting students with nonprofits and leadership development.,4.8,National,Free,National
29,Hispanic Scholarship Fund General Scholarship,Scholarship,hispanic;diversity;college,Scholarship for Hispanic and Latino students demonstrating academic excellence and financial need.,4.9,National,Free,National
30,New York Film Academy Summer Filmmaking Camp,Training Programs,film;arts;media,Intensive hands-on camp teaching high school students cinematography and film production.,4.6,New York,Free,New York
31,Alaska Native Knowledge Network STEM Fellowship,Fellowship,indigenous;stem;alaska,Fellowship supporting Alaska Native students pursuing STEM education and research opportunities.,4.8,Alaska,Free,Alaska
32,Duke University Talent Identification Program,Courses,academics;gifted;university,Online and in-person enrichment courses for academically talented middle and high school students.,4.7,North Carolina,Free,North Carolina
33,Urban Teacher Residency Fellowship,Fellowship,education;teaching;urban,A fellowship for students committed to teaching in under-resourced urban school districts.,4.6,Illinois,Free,Illinois
34,Colorado School of Mines STEM Discovery Day,Training Programs,mining;engineering;colorado,A day-long exploration event introducing students to engineering and earth sciences careers.,4.5,Colorado,Free,Colorado
35,Harry S. Truman Scholarship,Scholarship,public;policy;leadership,$30000 scholarship for students committed to careers in government or public service.,4.9,National,Free,National
36,Louisville Institute for Community Journalism,Training Programs,journalism;community;writing,A summer program training diverse student voices in community-focused reporting and media.,4.6,Kentucky,Free,Kentucky
37,Immigrant Rising Scholarship Fund,Scholarship,immigrant;undocumented;college,Financial support for undocumented and immigrant students pursuing higher education in the U.S.,4.8,California,Free,California
38,Sea Grant Ocean Science Internship,Internship,marine;biology;ocean,Paid coastal research internship with NOAA-affiliated Sea Grant programs across the U.S.,4.8,National,Free,National
39,Atlanta Mayor's Youth Council,Training Programs,civics;government;youth,A program engaging Atlanta youth in local government policy and civic leadership development.,4.7,Georgia,Free,Georgia
40,Adobe Creative Residency for Students,Fellowship,design;creative;digital,A fellowship supporting student artists and designers with tools mentorship and project funding.,4.7,California,Free,California
41,Minnesota American Indian Community Development Scholarship,Scholarship,indigenous;minnesota;college,Scholarship for Minnesota American Indian students pursuing post-secondary education.,4.8,Minnesota,Free,Minnesota
42,Regeneron Science Talent Search,Competition,science;research;competition,Prestigious national competition recognizing high school students for original scientific research.,4.9,National,Free,National
43,Iowa State University Agriculture Discovery Program,Training Programs,agriculture;food;sustainability,A week-long program for students to explore sustainable farming and agricultural sciences.,4.6,Iowa,Free,Iowa
44,New Hampshire Young Inventors Program,Competition,invention;engineering;creativity,A statewide competition encouraging K-12 students to design and build creative inventions.,4.5,New Hampshire,Free,New Hampshire
